MAN1A1,SLFN5,MFAP5,SCG2
GLCCI1,IKZF2,EFNA3,Blank-1152
CADPS2,YPEL2,ZNF121,GRAMD1B
EIF4BP4,RNF219,UBA52,FOXA2
JUN,MLLT11,MET,PP2D1
CSPG5,TBC1D8,PLA2G7,ESPL1
CREB5,SRGAP2,PRKCE,DIDO1
QRFPR,HIF3A,FMNL2,TNRC6B
GSG1,KLF5,ADRA2C,ACSL3
CCDC69,SNX19P2,TNFRSF21,ALPK1
C1orf198,F2RL1,SMOC1,TSPAN17
BEX4,MACF1,ANOS1,UBASH3B
KLF5,TM4SF1,EHD3,CALM2
FZD1,RBM26,GPR65,ZNF404
CDT1,MGEA5,FAM222A,TNFRSF25
USP37,SLC22A15,TRAM2,CHMP1B
LIMK2,PCDHA2,SDC4,FGF5
ALPK2,SLC26A2,FAM117B,GULP1
TLR4,TRIM29,TMEM184A,NSUN7
VMP1,EPHA2,TPX2,CNTN1
SUCLG2P4,PARP14,TNFAIP8L1,G3BP1
ANKRD36,ZADH2,LNP1,PRCAT47
PHLDB2,LIPH,ZFP36L2,GLS
CDK14,H2AFV,WDFY1,RNF213
GHR,STAMBPL1,ENDOD1,TEF
ITGB5,YBX3,TPM4,ANKRD50
HDAC5,GRAMD1C,ENTPD7,MSH5
RAB27A,TBC1D31,SPIN2A,GARS
SKP2,TOB2,DSG2,GPR3
EFNA5,TLR6,KRT75,TICRR
CA11,PGPEP1,FKBP4,ETNK1
TBC1D9,ARHGAP11B,MYCL,CLMP
KCTD8,SYT14P1,SAP18,SRGAP2
STMN3,FNBP4,SAMD5,BEND7
LOXL4,ZNF283,PPARGC1B,ANKRD31
ADGRV1,PRLHR,CTNND2,RPL6P8
AIF1L,SLC44A5,HSPA4,ICK
ANKRD20A9P,ZNRF2,SOX17,HMBOX1
PLEKHA6,TFPI,SCLT1,PHGDH
SLC35E2B,DGKI,NAMPT,CBX5
CCT6P2,DCK,IDH3A,NAPG
PABPC1P2,DDX26B,BCL11A,FUT8
GNAL,LIMK2,IL7R,RHOBTB3
STOX2,MAFK,HEATR1,CBX4
AFF3,EREG,FAM131A,TLE1
SIRPA,PHACTR4,TWISTNB,DDX10P2
HUNK,TCAF2,C6orf120,TOMM34
DIXDC1,PNPLA8,MOB3B,RUNX1
MMP24,ZNF583,HSD11B2,FIGN
SRSF10,KDELR3,TIGD5,LTV1
GPC4,IDI1,MGAT2,DAB2
EFEMP1,SAV1,NADK,NIPAL3
WWTR1,BMS1P1,SDK1,QKI
SGMS2,CEP295,MEX3A,CDKN3
HNRNPKP3,PNRC2,KIF2C,UBE2K
GRID2,ZNF251,BICD2,PTBP3
ADRA1B,ISPD,RNF26,BCRP2
PRKCA,ERAP2,PSD4,FILIP1L
RASAL2,EDA2R,KIAA1143,MESDC1
HS6ST1,EBF1,RAB42,TOP1
PAPPA,CEP85L,RGMB,MFAP2
MARCO,DLEU7,DCUN1D4,STMN1
SGK223,PRCAT47,FRMD5,ABCC2
VGLL3,CLGN,SDC1,ZNF281
SEMA3F,POLQ,PLEKHG3,TF
SCN5A,HBEGF,SLC45A3,TRAF3IP2
DENND1B,STON1,GALNT6,ZNF217
NPM1P13,RUFY3,CALM1,PHACTR4
UNG,FNIP1,NCF2,KRT34
TRANK1,CALM2,S1PR1,SPOCD1
TUFT1,PLXNA2,WNT5A,ARHGAP12
NEDD9,C14orf1,SLC39A10,SLC27A1
NFIB,OGT,CTSC,FNBP4
POLR2J3,FLRT1,SNX19,ZNFX1
RPL4P6,APOBEC3C,ZXDB,SESN3
FARP1,ZNF780B,IPO5,EPRS
TNS1,ADAMTS17,MARCH4,MEX3A
MNS1,ZNF717,RASSF3,KLHDC4
IL2RB,GPD2,PIK3C2B,TM4SF1
DPYSL4,FAM171B,USP14,SLFN5
MOCOS,SRSF10,ABCB9,ITPR2
TIAM1,MGLL,OGFRL1,PIM1
KCND3,IP6K3,CRY1,C1orf204
DPY19L2P1,ARL5B,TRIP12,GYS2
MB21D2,PPP1R3C,TFEB,SPSB2
NAIP,BTG2,INHBA,FAM208A
MAP3K5,DLGAP1,PER2,RPF2
INSIG2,FILIP1L,ERCC2,PPIP5K2
EPB41L4A,WEE1,SLC35E4,CSTF3
GPR27,STK17B,MAP6D1,DGKI
ZC3HAV1,ARHGAP30,IQSEC2,PRKG1
